,0
0,name
1,full_name
2,club
3,special
4,age
5,league
6,birth_date
7,height_cm
8,weight_kg
9,nationality
10,eur_value
11,eur_wage
12,eur_release_clause
13,overall
14,potential
15,pac
16,sho
17,pas
18,dri
19,defend
20,phy
21,international_reputation
22,skill_moves
23,weak_foot
24,crossing
25,finishing
26,heading_accuracy
27,short_passing
28,volleys
29,dribbling
30,curve
31,free_kick_accuracy
32,long_passing
33,ball_control
34,acceleration
35,sprint_speed
36,agility
37,reactions
38,balance
39,shot_power
40,jumping
41,stamina
42,strength
43,long_shots
44,aggression
45,interceptions
46,positioning
47,vision
48,penalties
49,composure
50,marking
51,standing_tackle
52,sliding_tackle
53,gk_diving
54,gk_handling
55,gk_kicking
56,gk_positioning
57,gk_reflexes
58,rw
59,rm
60,rb
61,rwb
62,st
63,lw
64,cf
65,cam
66,cm
67,lm
68,cdm
69,cb
70,lb
71,lwb
72,gk
73,prefers_rw
74,prefers_rm
75,prefers_rb
76,prefers_rwb
77,prefers_st
78,prefers_lw
79,prefers_cf
80,prefers_cam
81,prefers_cm
82,prefers_lm
83,prefers_cdm
84,prefers_cb
85,prefers_lb
86,prefers_lwb
87,prefers_gk
88,foot_Left
89,foot_Right
90,att_rate_High
91,att_rate_Low
92,att_rate_Medium
93,defend_rate_High
94,defend_rate_Low
95,defend_rate_Medium
